,tweets_is_quote_status,tweets_favorite_count,tweets_user_friends_count,tweets_user_followers_count,tweets_user_favourites_count,tweets_user_geo_enabled,tweets_user_statuses_count,tweets_user_profile_use_background_image,tweets_user_has_extended_profile,tweets_user_default_profile_image,deets_possibly_sensitive,deets_reply_count,deets_like_count,deets_quote_count,users_verified,users_protected,users_followers_count,users_following_count,users_tweet_count,users_listed_count,deets_text_character_length,users_description_character_length,tweets_user_profile_background_color_F5F8FA,tweets_user_profile_background_color_C0DEED,tweets_user_profile_background_color_000000,tweets_user_profile_text_color_333333,tweets_user_profile_text_color_000000,tweets_user_profile_text_color_666666,retweet_class
5295,False,0,4346,1496,23880,False,38790,True,True,True,False,0.0,0.0,0.0,False,False,1496.0,4348.0,38931.0,841.0,140.0,23.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5296,False,0,4005,3082,4759,False,49526,False,False,False,False,0.0,0.0,0.0,False,False,3082.0,4005.0,49575.0,38.0,140.0,131.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5297,False,0,4582,8400,999,False,539959,True,False,True,False,0.0,0.0,0.0,False,False,8403.0,4581.0,540021.0,217.0,140.0,141.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5298,False,0,158,1690,245,False,124,True,True,False,False,0.0,0.0,0.0,False,False,1689.0,158.0,124.0,18.0,140.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5299,False,0,1472,1801,1261,True,8067,True,True,False,False,0.0,0.0,0.0,False,False,1800.0,1469.0,8068.0,3.0,105.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5300,False,0,2479,1780,1914,False,22316,False,False,False,False,0.0,0.0,0.0,False,False,1782.0,2519.0,22356.0,32.0,140.0,143.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5301,False,0,793,1501,7106,False,18165,False,True,False,False,0.0,0.0,0.0,False,False,1503.0,797.0,18190.0,299.0,169.0,157.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5302,True,0,2481,2615,5954,True,10417,True,True,False,False,0.0,0.0,0.0,False,False,2615.0,2478.0,10417.0,143.0,140.0,154.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5303,False,0,1984,2428,514,True,1835,True,False,True,False,0.0,0.0,0.0,False,False,2429.0,1984.0,1837.0,41.0,191.0,144.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5304,False,0,4001,3203,3562,False,52985,True,True,True,False,0.0,0.0,0.0,False,False,3201.0,4002.0,52996.0,1878.0,129.0,150.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5305,False,0,2756,8756,31035,True,23044,True,False,False,False,0.0,0.0,0.0,False,False,8754.0,2756.0,23044.0,1108.0,140.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5306,False,0,242,1075,546,False,44933,False,True,False,False,0.0,0.0,0.0,False,False,1077.0,242.0,45026.0,67.0,140.0,155.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5307,False,1,2388,5784,4368,False,14739,True,True,False,False,0.0,2.0,0.0,False,False,5787.0,2387.0,14742.0,1189.0,267.0,149.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5308,False,1,4902,6586,42354,False,31449,False,False,False,False,0.0,1.0,0.0,False,False,6586.0,4901.0,31460.0,1020.0,119.0,159.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5309,False,0,5659,6589,5154,False,14464,False,False,False,False,0.0,0.0,0.0,False,False,6587.0,5663.0,14476.0,91.0,143.0,106.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5310,False,0,1544,3240,983,True,26126,True,True,False,False,0.0,0.0,0.0,False,False,3236.0,1542.0,26134.0,29.0,140.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5311,False,0,2731,3029,10504,True,6866,False,True,False,False,0.0,0.0,0.0,False,False,3028.0,2731.0,6870.0,67.0,72.0,121.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5312,False,1,166,1750,101,True,197,False,False,False,False,0.0,1.0,0.0,False,False,1750.0,166.0,197.0,28.0,193.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5313,False,0,2671,4747,17794,True,116074,False,False,False,False,0.0,0.0,0.0,False,False,4754.0,2671.0,116273.0,95.0,140.0,158.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5314,False,5,484,1470,2518,False,1575,False,False,False,False,0.0,5.0,0.0,False,False,1470.0,484.0,1575.0,33.0,259.0,142.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5315,False,0,267,1893,46128,False,15461,True,False,True,False,0.0,0.0,0.0,False,False,1895.0,267.0,15477.0,3.0,140.0,22.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
5316,False,0,2531,3005,4453,False,8432,True,False,False,False,0.0,0.0,0.0,False,False,3007.0,2531.0,8432.0,170.0,140.0,143.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5317,False,0,317,8571,129,False,395,False,True,False,False,0.0,0.0,0.0,False,False,8574.0,317.0,395.0,29.0,289.0,113.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5318,False,3,1322,1780,6932,False,9852,False,False,False,False,0.0,3.0,0.0,False,False,1782.0,1323.0,9853.0,23.0,253.0,118.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5319,False,0,4895,3731,94249,False,31813,False,True,False,False,0.0,0.0,0.0,False,False,3733.0,4896.0,31872.0,75.0,140.0,153.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5320,False,1,2731,3029,10504,True,6866,False,True,False,False,1.0,1.0,0.0,False,False,3028.0,2731.0,6870.0,67.0,101.0,121.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5321,False,0,2,3532,267,False,524776,True,False,True,False,0.0,0.0,0.0,False,False,3533.0,2.0,525039.0,44.0,139.0,141.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5322,False,0,9,1075,2878,False,33445,False,True,False,False,0.0,0.0,0.0,False,False,1079.0,9.0,34309.0,24.0,140.0,160.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5323,False,1,3707,1679,1343,True,3901,False,False,False,False,0.0,1.0,0.0,False,False,1679.0,3707.0,3901.0,23.0,280.0,154.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5324,False,0,4895,3731,94249,False,31813,False,True,False,False,0.0,0.0,0.0,False,False,3733.0,4896.0,31872.0,75.0,140.0,153.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5325,False,0,682,5079,74358,True,11649,False,False,False,False,0.0,0.0,0.0,False,False,5081.0,682.0,11685.0,863.0,140.0,156.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5326,False,0,4895,3731,94249,False,31813,False,True,False,False,0.0,0.0,0.0,False,False,3733.0,4896.0,31872.0,75.0,140.0,153.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5327,False,0,2,5083,32249,False,33038,False,True,False,False,0.0,0.0,0.0,False,False,5086.0,2.0,33064.0,46.0,140.0,98.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5328,False,0,2756,8756,31035,True,23044,True,False,False,False,0.0,0.0,0.0,False,False,8754.0,2756.0,23044.0,1108.0,144.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5329,False,0,422,2071,6001,True,13904,True,False,False,False,0.0,0.0,0.0,False,False,2073.0,422.0,13906.0,604.0,140.0,81.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5330,False,0,894,1840,6754,False,3856,True,False,True,False,0.0,0.0,0.0,False,False,1840.0,894.0,3856.0,22.0,149.0,109.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5331,False,0,2756,8756,31035,True,23044,True,False,False,False,0.0,0.0,0.0,False,False,8754.0,2756.0,23044.0,1108.0,140.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5332,False,0,2756,8756,31035,True,23044,True,False,False,False,0.0,0.0,0.0,False,False,8754.0,2756.0,23044.0,1108.0,144.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5333,True,0,1930,2782,4283,True,5693,False,False,False,False,0.0,0.0,0.0,False,False,2785.0,1930.0,5693.0,169.0,140.0,160.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5334,False,0,894,1840,6754,False,3856,True,False,True,False,0.0,0.0,0.0,False,False,1840.0,894.0,3856.0,22.0,139.0,109.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5335,False,0,67,4460,2,False,785988,True,False,True,False,0.0,0.0,0.0,False,False,4470.0,67.0,788045.0,4120.0,140.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5336,False,0,9,1075,2878,False,33445,False,True,False,False,0.0,0.0,0.0,False,False,1079.0,9.0,34309.0,24.0,140.0,160.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5337,False,0,67,4460,2,False,785988,True,False,True,False,0.0,0.0,0.0,False,False,4470.0,67.0,788045.0,4120.0,140.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5338,False,0,4866,2157,3002,False,7336,True,True,True,False,0.0,0.0,0.0,False,False,2153.0,4864.0,7339.0,148.0,140.0,33.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5339,False,0,9,1075,2878,False,33445,False,True,False,False,0.0,0.0,0.0,False,False,1079.0,9.0,34309.0,24.0,140.0,160.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5340,False,0,67,4460,2,False,785988,True,False,True,False,0.0,0.0,0.0,False,False,4470.0,67.0,788045.0,4120.0,140.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5341,False,2,25,1078,64,False,277,True,True,True,False,0.0,2.0,0.0,False,False,1077.0,25.0,278.0,0.0,296.0,145.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5342,False,0,4952,1468,4849,False,90005,True,True,False,False,0.0,0.0,0.0,False,False,1469.0,4953.0,90009.0,58.0,144.0,107.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5343,False,0,67,4460,2,False,785988,True,False,True,False,0.0,0.0,0.0,False,False,4470.0,67.0,788045.0,4120.0,140.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5344,False,0,67,4460,2,False,785988,True,False,True,False,0.0,0.0,0.0,False,False,4470.0,67.0,788045.0,4120.0,140.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
